Customer_ID,Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Unite_Sold,Sales_Classification,Total_Sales
2059,M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,9390,High,614706960
2060,3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762,3293,Low,180331266
2061,M3,2016,South America,Grey,Electric,Automatic,3,102675,93915,9470,High,889375050
2062,X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,5425,Low,636010725
2063,i8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,425,Low,14532025
2064,X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,4935,Low,444001950
2065,3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660,Low,42958740
2066,3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,4266,Low,368590932
2067,M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,2191,Low,97109502
2068,X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,1932,Low,215132064
2069,7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,6962,Low,352416440
2070,3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low,76549850
2071,X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,8589,High,871981047
2072,5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,2011,Low,63979965
2073,7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,1564,Low,185119732
2074,i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low,40970475
2075,X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low,361759994
2076,i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low,247948940
2077,X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,3476,Low,353693428
2078,X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low,393189966
2079,X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High,736116480
2080,M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,9797,High,858256388
2081,M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High,718042272
2082,7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,6709,Low,688014659
2083,7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823,Low,564874583
2084,X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,1048,Low,71375088
2085,i8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,9545,High,751468305
2086,M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,2167,Low,155833304
2087,M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,3140,Low,296058040
2088,X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,7821,High,398268783
2089,i8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,2085,Low,78994395
2090,X3,2023,Europe,Red,Hybrid,Manual,3,12922,101473,8030,High,814828190
2091,i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,5409,Low,524483685
2092,X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,4367,Low,335381233
2093,X3,2019,North America,Silver,Hybrid,Automatic,4,189804,119927,1472,Low,176532544
2094,i3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,455,Low,32935175
2095,i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,7218,High,459757728
2096,X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low,121837939
2097,X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High,822917900
2098,i8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,1431,Low,64174626
2099,X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low,266144700
2100,X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low,551646097
2101,3 Series,2011,Middle East,Red,Hybrid,Automatic,4,22280,55612,6698,Low,372489176
2102,M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low,437170528
2103,i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low,564487687
2104,M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,8734,High,403781554
2105,X1,2023,Middle East,Silver,Diesel,Manual,2,172729,85801,8644,High,741663844
2106,7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456,Low,503114128
2107,7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472,High,355934136
2108,i8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,5940,Low,302595480
2109,7 Series,2023,Europe,Red,Electric,Manual,5,50602,83812,2241,Low,187822692
2110,7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,8663,High,814261359
2111,X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High,250100294
2112,i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High,863746155
2113,i3,2023,North America,Silver,Electric,Manual,5,190643,36081,190,Low,6855390
2114,7 Series,2017,Middle East,Grey,Petrol,Automatic,3,112754,93431,7462,High,697182122
2115,M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,8339,High,341482050
2116,i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low,268489660
2117,5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,3683,Low,332294992
2118,3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180,Low,58477260
2119,X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High,916033300
2120,X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low,568455796
2121,M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High,403145098
2122,X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low,106419280
2123,3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548,Low,182802312
2124,5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low,22403028
2125,X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low,263109948
2126,7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212,Low,219440988
2127,X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low,383450100
2128,M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High,284756307
2129,X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High,915721885
2130,X3,2022,Asia,Black,Diesel,Manual,4,160878,53997,2162,Low,116741514
2131,i8,2010,North America,White,Electric,Automatic,2.5,75457,101282,8396,High,850363672
2132,5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low,113461155
2133,X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,3880,Low,248688600
2134,X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low,663835668
2135,X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,8394,High,338068350
2136,X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,5935,Low,200579260
2137,7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908,Low,656207468
2138,X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,3147,Low,124706169
2139,M5,2017,Asia,Blue,Diesel,Manual,5,51891,103316,1732,Low,178943312
2140,i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low,76659061
2141,i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460,Low,53532360
2142,M5,2012,Europe,Black,Electric,Manual,5,86899,56202,3235,Low,181813470
2143,M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,7139,High,772097128
2144,i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low,275992218
2145,X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,3403,Low,292600149
2146,i3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,8216,High,821254928
2147,3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,8650,High,749609000
2148,3 Series,2020,North America,Silver,Hybrid,Automatic,3,158046,78509,8070,High,633567630
2149,X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low,14330862
2150,5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low,562011792
2151,i3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,8634,High,286519290
2152,M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low,112164504
2153,7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low,454728448
2154,M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High,820241682
2155,X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High,1154361520
2156,3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,8157,High,413160207
2157,7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,8666,High,922695018
2158,X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600,Low,108992000
2159,5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,9334,High,964986256
2160,5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,1344,Low,45857280
2161,5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,8291,High,990044892
2162,X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,7553,High,262459197
2163,M5,2023,Asia,Red,Electric,Manual,3,130509,94884,9645,High,915156180
2164,3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,9474,High,821244216
2165,X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,8000,High,487192000
2166,5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,6584,Low,260074584
2167,7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,6249,Low,379508019
2168,i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low,121657930
2169,i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,6072,Low,357604368
2170,3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142,Low,91101908
2171,7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,9856,High,421481984
2172,i3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,7607,High,348659238
2173,X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,8333,High,970527844
2174,M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,3877,Low,230479896
2175,3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956,Low,562416792
2176,X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low,486163908
2177,X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low,505888754
2178,i3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low,97900616
2179,X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High,900722889
2180,3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low,602718076
2181,M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low,13050788
2182,3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447,Low,513503550
2183,X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673,Low,344506971
2184,X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High,812431809
2185,X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970,High,320236400
2186,i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High,900090104
2187,X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low,398933840
2188,5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,9951,High,490375329
2189,5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,7403,High,270735113
2190,i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High,820115442
2191,X3,2021,Europe,Blue,Hybrid,Manual,2,126258,32119,4249,Low,136473631
2192,7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271,Low,15634261
2193,3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,6974,Low,672495846
2194,X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low,329145768
2195,X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low,168251330
2196,X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,6620,Low,263429660
2197,3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,1476,Low,149354964
2198,3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129,Low,445799872
2199,i3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,9128,High,468512856
2200,3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low,296814945
2201,X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High,705569304
2202,3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,3222,Low,229818816
2203,X5,2016,Africa,White,Electric,Manual,3,146541,72024,9331,High,672055944
2204,X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low,417303796
2205,i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low,650459240
2206,5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,6897,Low,371486214
2207,X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low,544343436
2208,M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,1396,Low,87555724
2209,X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low,24510229
2210,3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,6640,Low,475364240
2211,X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High,773498880
2212,X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,5542,Low,235823184
2213,3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,7342,High,654583352
2214,X1,2021,South America,Grey,Diesel,Automatic,3,37616,79927,1057,Low,84482839
2215,M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,7431,High,293487345
2216,M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low,235366650
2217,X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High,709812160
2218,X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low,534602308
2219,M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low,122688027
2220,X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low,501256427
2221,M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,6588,Low,281557944
2222,X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474,Low,78264978
2223,X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428,Low,147952608
2224,3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,5065,Low,441597090
2225,5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,9087,High,353129907
2226,3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,5817,Low,192461262
2227,X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low,309595260
2228,X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low,293657364
2229,i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High,513307639
2230,X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low,89827784
2231,X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,3076,Low,173206484
2232,X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low,510368124
2233,7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,3606,Low,211859712
2234,i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low,99431082
2235,X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High,569615890
2236,i8,2010,South America,Red,Hybrid,Automatic,2,49903,92666,9368,High,868095088
2237,7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,2069,Low,135039492
2238,i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low,715214366
2239,X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High,1124709120
2240,X5,2023,North America,Blue,Hybrid,Manual,4,83959,43850,9612,High,421486200
2241,7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,8022,High,777002898
2242,X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,3205,Low,343874065
2243,M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low,14616300
2244,X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High,457559550
2245,X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,3581,Low,361609380
2246,M5,2016,North America,Silver,Electric,Automatic,4,67272,78120,381,Low,29763720
2247,M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low,367975320
2248,3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,2815,Low,283408570
2249,5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,9239,High,352652630
2250,X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low,81880260
2251,3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,5315,Low,302083340
2252,M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,2976,Low,98484768
2253,X3,2010,North America,Black,Electric,Manual,2,191879,50319,1311,Low,65968209
2254,X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,5952,Low,648202560
2255,i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,3778,Low,117918936
2256,3 Series,2021,South America,Black,Electric,Automatic,2,162323,72641,4298,Low,312211018
2257,5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,8127,High,674191539
2258,M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High,800427456
2259,X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low,387967300
2260,i3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,8483,High,290534267
2261,7 Series,2017,North America,White,Hybrid,Manual,1.5,7334,77120,6825,Low,526344000
2262,X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High,730436846
2263,X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low,12729875
2264,X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,5236,Low,554424332
2265,X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,2466,Low,76722192
2266,7 Series,2010,South America,Black,Petrol,Manual,4.3,52940,51743,4350,Low,225082050
2267,X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High,812647440
2268,i8,2013,Europe,Red,Diesel,Manual,3.9,106314,113159,113,Low,12786967
2269,M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,2275,Low,79288300
2270,7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,1714,Low,166151732
2271,X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,9847,High,1020769561
2272,3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,4182,Low,309919656
2273,M5,2012,Asia,Black,Electric,Automatic,2,65212,48461,3244,Low,157207484
2274,X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,6461,Low,733485025
2275,M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,9520,High,1059052400
2276,X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,4579,Low,280825491
2277,X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,7530,High,516844140
2278,X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,9850,High,1151740800
2279,M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122,High,913139566
2280,7 Series,2010,South America,Silver,Hybrid,Manual,2.7,147526,35576,1916,Low,68163616
2281,X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,3813,Low,200979417
2282,i3,2011,North America,Grey,Electric,Automatic,2.2,131725,73410,6205,Low,455509050
2283,M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,6688,Low,272750016
2284,i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,1402,Low,110760804
2285,5 Series,2016,Middle East,Silver,Petrol,Manual,3.8,135036,38344,8273,High,317219912
2286,M3,2014,Europe,White,Petrol,Manual,4,29746,103056,7577,High,780855312
2287,M3,2010,Europe,Black,Hybrid,Manual,4,87426,60458,9098,High,550046884
2288,M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,4427,Low,143815522
2289,X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,9311,High,611108863
2290,3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,3182,Low,322845720
2291,i3,2011,Africa,White,Diesel,Manual,1.6,97680,115240,5797,Low,668046280
2292,X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,577,Low,66265565
2293,i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,3288,Low,348324144
2294,X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,7041,High,298418703
2295,i8,2015,Africa,Red,Diesel,Manual,1.9,60913,43439,5284,Low,229531676
2296,i8,2016,Europe,Blue,Petrol,Manual,4.5,191604,59627,9454,High,563713658
2297,5 Series,2013,Asia,Blue,Hybrid,Automatic,3.8,45722,74501,6935,Low,516664435
2298,M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,5058,Low,413673588
2299,3 Series,2020,South America,Grey,Diesel,Manual,4,175591,64007,7793,High,498806551
2300,M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,2353,Low,85877441
2301,X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,4643,Low,418153223
2302,X1,2010,Africa,Grey,Diesel,Automatic,1.6,100516,49598,1252,Low,62096696
2303,i3,2024,South America,White,Hybrid,Automatic,4.5,57231,47994,1675,Low,80389950
2304,M5,2015,Asia,White,Petrol,Automatic,4.1,95889,52950,6177,Low,327072150
